	photo_cnt	photo_like_cnt	photo_like_max	photo_like_mean	photo_like_median	photo_month_mean	photo_repost_cnt	photo_repost_max	photo_repost_mean	photo_repost_median	photo_text	photo_text_len_cnt	photo_yer_mean	uid	vk_photo_ava_change_cnt	vk_photo_text_url_len_cnt	vk_photo_wall_ph_post_cnt
51	3	298	125	99.33333333333333	103.0	1.0	0	0	0.0	0.0	  	0.0	1.0	162913282	0	0	0
52	1514	3695	99	2.440554821664465	0.0	126.16666666666667	11	3	0.00726552179656539	0.0	"                                                                                         ""Мир пони"" - расти пони вместе со мной! http://vk.com/mirpony    Аниме фотоколлажи + Кто ты из Аниме?! ★  vk.com/app1979932 

Кто ты из аниме Стальной алхимик?     Аниме фотоколлажи + Кто ты из Аниме?! ★  vk.com/app1979932 

Кто ты из аниме One Piece?  Аниме фотоколлажи + Кто ты из Аниме?! ★  vk.com/app1979932 

Кто ты из аниме Легенда о Зорро?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Смотри лучшие комиксы Папа и Сын. Создавай свои -> http://vk.com/staredad_comics Смотри лучшие комиксы Папа и Сын. Создавай свои -> http://vk.com/staredad_comics Смотри лучшие комиксы Папа и Сын. Создавай свои -> http://vk.com/staredad_comics Смотри лучшие комиксы Папа и Сын. Создавай свои -> http://vk.com/staredad_comics Смотри лучшие комиксы Папа и Сын. Создавай свои -> http://vk.com/staredad_comics            двигалась картинка... ТоТ                                                                                                                                                              ня                                                  "	0.0	189.25	165653178	0	9	0
53	1	28	28	28.0	28.0	1.0	0	0	0.0	0.0		0.0	1.0	166728293	0	0	0
54	2	267	142	133.5	133.5	1.0	0	0	0.0	0.0	 	0.0	2.0	168675322	0	0	0
55	5	544	153	108.8	135.0	1.0	0	0	0.0	0.0	    	0.0	1.6666666666666667	172327645	0	0	0
56	30	1770	182	59.0	45.5	3.0	0	0	0.0	0.0	                             	0.0	4.285714285714286	173079267	0	0	0
57	21	1354	162	64.47619047619048	71.0	2.625	0	0	0.0	0.0	                    	0.0	7.0	176720542	0	0	0
58	4	243	90	60.75	54.0	1.0	0	0	0.0	0.0	   	0.0	1.3333333333333333	178537280	0	0	0
59	2	8	8	4.0	4.0	2.0	0	0	0.0	0.0	 	0.0	2.0	186278713	0	0	0
60	50	4818	288	96.36	71.5	4.545454545454546	2	1	0.04	0.0	                                                 	0.0	8.333333333333334	189727218	0	0	0
61	12	563	65	46.916666666666664	48.0	1.3333333333333333	0	0	0.0	0.0	           	0.0	2.0	190871426	0	0	0
62	1	47	47	47.0	47.0	1.0	0	0	0.0	0.0		0.0	1.0	194113525	0	0	0
63	26	761	57	29.26923076923077	26.5	3.25	0	0	0.0	0.0	         Мой торт на др                	0.0	4.333333333333333	194539981	0	0	0
64	12	401	75	33.416666666666664	33.0	2.0	0	0	0.0	0.0	           	0.0	2.0	194677359	0	0	0
65	4	154	54	38.5	43.0	1.3333333333333333	0	0	0.0	0.0	   	0.0	2.0	202855356	0	0	0
66	226	1143	47	5.057522123893805	3.0	18.833333333333332	0	0	0.0	0.0	                                                                                                                                                                                                                                 	0.0	32.285714285714285	219832178	0	0	0
67	98	5326	285	54.3469387755102	23.5	8.166666666666666	1	1	0.01020408163265306	0.0	"                          Моя сканографика из приложения Сканограф
 Такую же сделать можно тут  : https://vk.cc/6QAvoF            Моя сканографика из приложения Сканограф
 Такую же сделать можно тут  : https://vk.com/app4179612                                     Расшифровка твоего имени → vk.com/app4530276#app2   Я победил в турнире ""Турнир Опсы"" в игре Гладиаторы                   "	0.0	16.333333333333332	238418880	0	3	0
68	3	55	34	18.333333333333332	12.0	1.5	0	0	0.0	0.0	  	0.0	1.5	241191497	0	0	0
69	1	116	116	116.0	116.0	1.0	0	0	0.0	0.0		0.0	1.0	241698242	0	0	0
70	3	67	25	22.333333333333332	23.0	1.0	0	0	0.0	0.0	  	0.0	1.5	247292705	0	0	0
71	3	53	37	17.666666666666668	11.0	1.5	0	0	0.0	0.0	  	0.0	3.0	259106820	0	0	0
72	29	294	39	10.137931034482758	9.0	4.142857142857143	0	0	0.0	0.0	                            	0.0	9.666666666666666	259423900	0	0	0
73														259955111.0			
74	1	38	38	38.0	38.0	1.0	0	0	0.0	0.0		0.0	1.0	277697401	0	0	0
75														277990479.0			
76	6	92	23	15.333333333333334	13.0	1.2	0	0	0.0	0.0	     	0.0	1.5	280359257	0	0	0
77	45	4787	190	106.37777777777778	105.0	4.5	0	0	0.0	0.0	                                            	0.0	11.25	284272314	0	0	0
78														286802151.0			
79	7	194	46	27.714285714285715	26.0	1.4	0	0	0.0	0.0	      	0.0	2.3333333333333335	289188415	0	0	0
80	41	1809	90	44.1219512195122	41.0	3.727272727272727	0	0	0.0	0.0	                                        	0.0	8.2	302375938	0	0	0
81	2	74	44	37.0	37.0	1.0	0	0	0.0	0.0	 	0.0	2.0	306519055	0	0	0
82	149	6771	91	45.442953020134226	44.0	12.416666666666666	0	0	0.0	0.0	                                                                                                                                                    	0.0	29.8	317129646	0	0	0
83	2	706	482	353.0	353.0	1.0	0	0	0.0	0.0	 	0.0	1.0	317626410	0	0	0
84	8	336	91	42.0	30.5	1.1428571428571428	0	0	0.0	0.0	       	0.0	2.0	321530779	0	0	0
85	3	16	7	5.333333333333333	7.0	1.5	0	0	0.0	0.0	  	0.0	3.0	332513941	0	0	0
86	9	513	87	57.0	55.0	1.5	0	0	0.0	0.0	        	0.0	2.25	370514239	0	0	0
87	9	342	93	38.0	33.0	1.5	0	0	0.0	0.0	        	0.0	3.0	391149201	0	0	0
88	4	173	53	43.25	46.0	1.0	0	0	0.0	0.0	   	0.0	2.0	438994254	0	0	0
89	17	492	78	28.941176470588236	22.0	2.4285714285714284	0	0	0.0	0.0	                	0.0	5.666666666666667	462833040	0	0	0
90	4	75	30	18.75	17.5	1.3333333333333333	0	0	0.0	0.0	   	0.0	2.0	508667601	0	0	0
91	1	3	3	3.0	3.0	1.0	0	0	0.0	0.0		0.0	1.0	560891993	0	0	0
92														570114842.0			
93	8	159	64	19.875	11.0	1.3333333333333333	0	0	0.0	0.0	       	0.0	4.0	95174956	0	0	0
94	14	313	34	22.357142857142858	22.0	2.0	0	0	0.0	0.0	             	0.0	3.5	183727150	0	0	0
95	4	189	62	47.25	45.0	1.3333333333333333	0	0	0.0	0.0	   	0.0	2.0	426193177	0	0	0
96	28	664	115	23.714285714285715	16.0	2.5454545454545454	0	0	0.0	0.0	"(    🤙🏾         Запомни, братишка, будут грозы-держись, будут ветра-не гнись, будут слезы-борись. Помни, братуха, жизнь-это жизнь...            М
Молодость  —ты спросишь кто мой идол?
—сука desert eagle"	0.0	5.6	156207818	0	0	0
97														99390453.0			
98	4	76	28	19.0	18.5	1.3333333333333333	0	0	0.0	0.0	   	0.0	4.0	543608656	0	0	0
99	24	1012	119	42.166666666666664	31.5	2.6666666666666665	2	2	0.08333333333333333	0.0	                       	0.0	3.0	66657676	0	0	0
100														300893463.0			
101	1	14	14	14.0	14.0	1.0	0	0	0.0	0.0		0.0	1.0	354804942	0	0	0
102	71	2690	74	37.88732394366197	37.0	5.916666666666667	1	1	0.014084507042253521	0.0	                                                                      	0.0	11.833333333333334	278805800	0	0	0
103														37432477.0			
104														178676245.0			
